[2026-06-10T08:15:40.224Z] GET https://placehold.co/280x157.5/333333/FFFFFF?text=No+Thumbnail → pending (?ms, ?B)
[2026-06-10T08:15:40.224Z] GET http://localhost:8765/core-utils.js → 200 (?ms, -194B)
[2026-06-10T08:15:40.224Z] GET http://localhost:8765/core-obs.js → 404 (52ms, ?B)
[2026-06-10T08:15:40.224Z] GET http://localhost:8765/core-scheduler.js → 404 (52ms, ?B)
[2026-06-10T08:15:40.224Z] GET http://localhost:8765/player-loop.js → 404 (52ms, ?B)
[2026-06-10T08:15:40.224Z] GET http://localhost:8765/player-live.js → 404 (52ms, ?B)
[2026-06-10T08:15:40.225Z] GET http://localhost:8765/player-delay.js → 404 (51ms, ?B)
[2026-06-10T08:15:40.225Z] GET http://localhost:8765/player-localpc.js → 404 (51ms, ?B)
[2026-06-10T08:15:40.225Z] GET http://localhost:8765/monitor-live.js → 200 (52ms, 25330B)
[2026-06-10T08:15:40.225Z] GET http://localhost:8765/monitor-katha.js → 200 (52ms, 12462B)
[2026-06-10T08:15:40.225Z] GET http://localhost:8765/main.js → 404 (51ms, ?B)
[2026-06-10T08:15:40.271Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-10T08:15:40.277Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fexample.com → 200 (73ms, 571B)
[2026-06-10T08:15:40.277Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCQXWP4gEdEwlb6vodwrU75A%2Fvideos → 200 (337ms, 1095404B)
[2026-06-10T08:15:40.350Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (705ms, 1096018B)
[2026-06-10T08:15:40.643Z] GET https://i.ytimg.com/vi/D4KmhzIW31o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCr9S7-qY0pM-PsZGYCsjimWJeZiw → 200 (73ms, 21345B)
[2026-06-10T08:15:40.643Z] GET https://i.ytimg.com/vi/X4h7LjQNidA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCP1FAFicBW2GTJUPu8UagL722KLg → 200 (94ms, 18300B)
[2026-06-10T08:15:40.643Z] GET https://i.ytimg.com/vi/bmFzf93EReg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtUyBjmdiT0KAcunsSPa16nRWJ_A → 200 (79ms, 15231B)
[2026-06-10T08:15:40.643Z] GET https://i.ytimg.com/vi/CPNLIbAYMkc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRHEotmCqTvb0Ccwoc6teyWcQV-w → 200 (108ms, 20763B)
